title,location,price,region,property,building,land_area,util_area
Prodej komerčního objektu (jiného typu) 229 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,jiného typu,smíšená,2764 m,229 m
Prodej komerčního objektu (jiného typu) 229 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,jiného typu,smíšená,2764 m,
Prodej komerčního objektu (jiného typu) 229 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,jiného typu,smíšená,,229 m
Prodej komerčního objektu (jiného typu) 229 m²,"Mladkov, okres Ústí nad Orlicí",5 490 000 Kč,pardubicky-kraj,jiného typu,smíšená,,
Prodej domu 198 m² s pozemkem 1 289 m²,"Anenská Studánka, okres Ústí nad Orlicí",Cena na vyžádání,pardubicky-kraj,samostatný,cihlová,1289 m,198 m
Prodej domu 198 m² s pozemkem 1 289 m²,"Anenská Studánka, okres Ústí nad Orlicí",Cena na vyžádání,pardubicky-kraj,samostatný,cihlová,1289 m,
Prodej domu 198 m² s pozemkem 1 289 m²,"Anenská Studánka, okres Ústí nad Orlicí",Cena na vyžádání,pardubicky-kraj,samostatný,cihlová,,198 m
Prodej domu 198 m² s pozemkem 1 289 m²,"Anenská Studánka, okres Ústí nad Orlicí",Cena na vyžádání,pardubicky-kraj,samostatný,cihlová,,
Pronájem obchodních prostor 73 m²,"Masarykovo náměstí, Přelouč, okres Pardubice",12 500 Kč/měsíc,pardubicky-kraj,osobní,cihlová,,73 m
Pronájem obchodních prostor 73 m²,"Masarykovo náměstí, Přelouč, okres Pardubice",12 500 Kč/měsíc,pardubicky-kraj,osobní,cihlová,,
Prodej domu 118 m² s pozemkem 285 m²,"K Zahrádkám, Srch, okres Pardubice",8 790 000 Kč,pardubicky-kraj,řadový,cihlová,285 m,118 m
Prodej domu 118 m² s pozemkem 285 m²,"K Zahrádkám, Srch, okres Pardubice",8 790 000 Kč,pardubicky-kraj,řadový,cihlová,285 m,
Prodej domu 118 m² s pozemkem 285 m²,"K Zahrádkám, Srch, okres Pardubice",8 790 000 Kč,pardubicky-kraj,řadový,cihlová,,118 m
Prodej domu 118 m² s pozemkem 285 m²,"K Zahrádkám, Srch, okres Pardubice",8 790 000 Kč,pardubicky-kraj,řadový,cihlová,,
Prodej stavebního pozemku 989 m²,"Vysoké Mýto - Svařeň, okres Ústí nad Orlicí",2 250 000 Kč,pardubicky-kraj,veřejný,osobní,,
Prodej domu 3 154 m² s pozemkem 2 554 m²,"Vápenný Podol, okres Chrudim",Cena na vyžádání,pardubicky-kraj,osobní,cihlová,2554 m,3154 m
Prodej zahrady 588 m²,"Sosnová, okres Česká Lípa",600 000 Kč,liberecky-kraj,,588 m,,
Prodej domu 3 154 m² s pozemkem 2 554 m²,"Vápenný Podol, okres Chrudim",Cena na vyžádání,pardubicky-kraj,osobní,cihlová,2554 m,
Prodej domu 3 154 m² s pozemkem 2 554 m²,"Vápenný Podol, okres Chrudim",Cena na vyžádání,pardubicky-kraj,osobní,cihlová,,3154 m
Prodej domu 3 154 m² s pozemkem 2 554 m²,"Vápenný Podol, okres Chrudim",Cena na vyžádání,pardubicky-kraj,osobní,cihlová,,
Pronájem bytu 3+1 73 m²,"Třebenická, Praha 8 - Kobylisy",15 000 Kč/měsíc,praha,družstevní,panelová,,73 m
Pronájem bytu 3+1 73 m²,"Třebenická, Praha 8 - Kobylisy",15 000 Kč/měsíc,praha,družstevní,panelová,,
Prodej stavebního pozemku 1 029 m²,"Šípková, Chomutov",2 490 180 Kč,ustecky-kraj,,1029 m,,
Prodej bytu 3+kk 80 m²,"Slovenská, Chrudim - Chrudim II",4 450 000 Kč,pardubicky-kraj,dobrý stav,panelová,,80 m
Prodej bytu 3+kk 80 m²,"Slovenská, Chrudim - Chrudim II",4 450 000 Kč,pardubicky-kraj,dobrý stav,panelová,,
Prodej domu 120 m² s pozemkem 310 m²,"Václava Otty, Chleby, okres Nymburk",3 500 000 Kč,stredocesky-kraj,osobní,cihlová,310 m,120 m
