title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej chaty/chalupy 250 m²,"Chotoviny - Liderovice, okres Tábor",16 190 000 Kč,250 m,250 m,zavedena,osobní,kamenná
Pronájem komerčního objektu (jiného typu) 66 m²,"T. G. Masaryka, Český Krumlov - Latrán",9 196 Kč/měsíc,4,nezařízený,,jiného typu,cihlová
Pronájem komerčního objektu (jiného typu) 10 m²,"Rudolfovská tř., České Budějovice - České Budějovice 3",1 499 Kč/měsíc,10 m,G,,osobní,cihlová
Prodej domu 85 m² s pozemkem 384 m²,"Družstevní, Jindřichův Hradec - Jindřichův Hradec II",4 990 000 Kč,nezařízený,G (vyhl. č. 78/2013 Sb.),,samostatný,cihlová
"Pronájem, parkovací stání 60m2, Lannova tř., České Budějovice","Lannova tř., České Budějovice - České Budějovice 6",10 000 Kč/měsíc,,,,,
Pronájem bytu 2+kk 49 m²,"Krajinská, České Budějovice - České Budějovice 1",12 000 Kč/měsíc,,ústřední - dálkové,01.12.2021,osobní,cihlová
Prodej domu 960 m² s pozemkem 960 m²,"Heřmaň, okres Písek",5 490 000 Kč,2012,960 m,1 podlaží,osobní,cihlová
Pronájem bytu 1+kk 30 m²,"Rudolfovská tř., České Budějovice - České Budějovice 6",9 000 Kč/měsíc,,,částečně zařízený,osobní,cihlová
Prodej zahrady 418 m²,"Vráto, okres České Budějovice",3 499 000 Kč,,,,,418 m
Prodej restaurace 250 m²,"Českobudějovická, Kaplice, okres Český Krumlov",4 800 000 Kč,180 m,250 m,ústřední - plynové,jiný,smíšená
Prodej bytu 4+1 84 m²,"Havanská, Tábor",3 390 000 Kč,84 m,8. patro (9. NP),,dobrý stav,panelová
Prodej stavebního pozemku 15 207 m²,"Orlík nad Vltavou - Staré Sedlo, okres Písek",Cena na vyžádání,,,,,osobní
Prodej stavebního pozemku 722 m²,Jindřichův Hradec - Děbolín,3 050 000 Kč,,,,,722 m
Prodej domu 600 m² s pozemkem 3 261 m²,"Veselí nad Lužnicí, okres Tábor",11 500 000 Kč,637 m,600 m,parkování na ulici,samostatný,cihlová
Pronájem bytu 3+kk 70 m²,"Krajířova, Dačice - Dačice I, okres Jindřichův Hradec",8 000 Kč/měsíc,1. patro (2. NP),,zaveden,osobní,cihlová
Prodej domu 250 m² s pozemkem 247 m²,"Českobudějovická, Kaplice, okres Český Krumlov",4 800 000 Kč,180 m,250 m,zavedena,jiný,smíšená
Prodej chaty/chalupy 40 m² s pozemkem 40 m²,"Horní Planá, okres Český Krumlov",Cena na vyžádání,40 m,40 m,2,osobní,smíšená
Prodej domu 98 m² s pozemkem 4 940 m²,"Zlatá Koruna - Plešovice, okres Český Krumlov",6 000 000 Kč,152 m,98 m,nezaveden,osobní,smíšená
Prodej domu 108 m² s pozemkem 259 m²,"Mýtní, Stráž nad Nežárkou, okres Jindřichův Hradec",3 500 000 Kč,102 m,108 m,zavedena,osobní,smíšená
Prodej domu 400 m² s pozemkem 4 285 m²,"Čížkrajice - Chvalkov, okres České Budějovice",14 000 000 Kč,450 m,400 m,,osobní,smíšená
