title,location,price,land_area,util_area,num_of_rooms,property,building
Pronájem bytu 3+1 65 m²,"Lužická, Mariánské Lázně, okres Cheb",10 000 Kč/měsíc,2. patro (3. NP),5 podlaží,nezařízený,dobrý stav,cihlová
Prodej domu 200 m² s pozemkem 387 m²,"Luby, okres Cheb",1 290 000 Kč,89 m,200 m,G,osobní,cihlová
Prodej stavebního pozemku 4 038 m²,"Zádub-Závišín - Zádub, okres Cheb",6 500 000 Kč,,,,,klidná část
Prodej bytu 2+kk 53 m²,"Chebská, Mariánské Lázně, okres Cheb",4 066 326 Kč,5 podlaží,,,osobní,cihlová
Pronájem obchodních prostor 141 m²,"Nerudova, Karlovy Vary - Stará Role",15 500 Kč/měsíc,141 m,141 m,lokální - plyn,osobní,cihlová
Prodej komerčního pozemku 186 m²,"T. G. Masaryka, Karlovy Vary",1 990 000 Kč,,,,,186 m
Prodej domu 320 m² s pozemkem 816 m²,"Studentská, Karlovy Vary - Doubí",6 990 000 Kč,162 m,320 m,,osobní,cihlová
Prodej domu 81 m² s pozemkem 237 m²,"náměstí Baltazara Neumanna, Cheb",2 500 000 Kč,83 m,81 m,G (vyhl. č. 78/2013 Sb.),samostatný,cihlová
Pronájem obchodních prostor 80 m²,"I. P. Pavlova, Karlovy Vary",80 000 Kč/měsíc,80 m,5,28.11.2019,obchodní prostory,cihlová
Prodej bytu 2+kk 44 m²,"Vítězná, Karlovy Vary - Drahovice",2 100 000 Kč,3. patro (4. NP),5 podlaží,,dobrý stav,cihlová
Prodej domu 247 m² s pozemkem 5 267 m²,"Pohraniční stráže, Svatava, okres Sokolov",4 575 000 Kč,247 m,247 m,G,osobní,smíšená
Prodej bytu 2+1 66 m²,"Dřevěná, Mariánské Lázně, okres Cheb",2 650 000 Kč,4. patro (5. NP),6 podlaží,nezařízený,dobrý stav,panelová
Prodej domu 205 m² s pozemkem 274 m²,"1. máje, Mariánské Lázně - Úšovice, okres Cheb",6 300 000 Kč,274 m,106 m,,osobní,cihlová
Pronájem bytu 1+1 42 m²,"Závodu míru, Sokolov",6 300 Kč/měsíc,2. patro (3. NP),5 podlaží,,dobrý stav,panelová
Pronájem bytu 2+kk 53 m²,"Tepelská, Mariánské Lázně - Úšovice, okres Cheb",15 000 Kč/měsíc,2017,53 m,,novostavba,cihlová
Prodej komerčního pozemku 3 608 m²,"Ostrov, okres Karlovy Vary",6 450 000 Kč,,,,zaveden,3608 m
Pronájem bytu 2+1 50 m²,"Škroupova, Karlovy Vary",6 500 Kč/měsíc,1. patro (2. NP),5 podlaží,lokální - elektrické,osobní,cihlová
Prodej bytu 2+1 67 m²,"Kosmonautů, Sokolov",1 860 000 Kč,67 m,6. patro (7. NP),,osobní,panelová
Prodej komerčního objektu (jiného typu) 2 310 m²,"náměstí Republiky, Karlovy Vary",84 900 000 Kč,728 m,2310 m,částečně zařízený,jiného typu,cihlová
Prodej kanceláře 620 m²,"Dr. Davida Bechera, Karlovy Vary",Cena na vyžádání,186 m,620 m,G (vyhl. č. 78/2013 Sb.),kanceláře,cihlová
