title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej domu 1 578 m² s pozemkem 1 578 m²,"Hořice - Chvalina, okres Jičín",5 150 000 Kč,309 m,1578 m,částečně zařízený,osobní,cihlová
Pronájem restaurace 403 m²,"Velké náměstí, Hradec Králové",Cena na vyžádání,403 m,403 m,ústřední - plynové,osobní,cihlová
Prodej skladovacích prostor 2 457 m²,"Kladská, Hradec Králové - Slezské Předměstí",Cena na vyžádání,2300 m,2457 m,,asfalt,s.r.o.
Pronájem bytu 2+1 103 m²,"Velké náměstí, Hradec Králové",22 000 Kč/měsíc,103 m,přízemí (1. NP = nadzemní podlaží),veřejný přívod,dobrý stav,cihlová
Pronájem obchodních prostor 700 m²,"Budčeves, okres Jičín",12 000 Kč/měsíc,700 m,nezaveden,,osobní,dřevěná
Pronájem bytu 2+1 67 m²,"Velké náměstí, Hradec Králové",14 000 Kč/měsíc,67 m,1. patro (2. NP),lokální - plyn,dobrý stav,cihlová
Prodej domu 135 m² s pozemkem 300 m²,"Velká Jesenice, okres Náchod",6 990 000 Kč,95 m,135 m,1 kWh,osobní,cihlová
Pronájem domu 255 m² s pozemkem 500 m²,"Dr. Vojtěcha, Nový Bydžov, okres Hradec Králové",18 000 Kč/měsíc,255 m,255 m,zařízený,osobní,cihlová
Pronájem kanceláře 181 m²,"Krkonošská, Vrchlabí, okres Trutnov",22 000 Kč/měsíc,181 m,181 m,230V,osobní,cihlová
Pronájem bytu 1+kk 34 m²,"Ve Stromovce, Hradec Králové",9 500 Kč/měsíc,klidná část,34 m,,novostavba,cihlová
Prodej stavebního pozemku 3 936 m²,"Dvořákova, Vamberk, okres Rychnov nad Kněžnou",3 490 000 Kč,,,,,osobní
Pronájem bytu 2+kk 60 m²,"Novoměstská, Trutnov - Dolní Předměstí",12 500 Kč/měsíc,60 m,3. patro (4. NP),G (vyhl. č. 78/2013 Sb.),po rekonstrukci,cihlová
Prodej domu 45 m² s pozemkem 412 m²,"Smržov, okres Hradec Králové",2 100 000 Kč,45 m,350 m,,samostatný,dřevěná
Prodej stavebního pozemku 1 161 m²,"Borovičky, Dvůr Králové nad Labem, okres Trutnov",1 990 000 Kč,,,,,1161 m
Pronájem bytu 2+kk 45 m²,"Kejzlarova, Hradec Králové - Nový Hradec Králové",11 000 Kč/měsíc,8. patro (9. NP),12 podlaží,,dobrý stav,panelová
Prodej domu 103 m² s pozemkem 247 m²,"Hořiněves, okres Hradec Králové",2 800 000 Kč,1960,247 m,1 podlaží,osobní,cihlová
Prodej bytu 3+1 60 m²,"Milady Horákové, Hradec Králové - Nový Hradec Králové",4 290 000 Kč,60 m,1. patro (2. NP),,dobrý stav,panelová
Prodej domu 141 m² s pozemkem 693 m²,"Rudník, okres Trutnov",4 368 000 Kč,141 m,473 m,G (vyhl. č. 78/2013 Sb.),samostatný,kamenná
Prodej stavebního pozemku 998 m²,"Vernéřovice, okres Náchod",980 000 Kč,,,,998 m,osobní
Pronájem skladovacích prostor 3 500 m²,"Kvasiny, okres Rychnov nad Kněžnou",Cena na vyžádání,3500 m,3500 m,nezařízený,jiný,skeletová
