title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej výrobních prostor 650 m²,"Gen. Svobody, Nový Bor - Arnultovice, okres Česká Lípa",5 200 000 Kč,295 m,650 m,G (vyhl. č. 78/2013 Sb.),výrobní prostory,cihlová
Prodej stavebního pozemku 1 209 m²,"Karlovice, okres Semily",3 200 000 Kč,,,,veřejný,osobní
Prodej domu 176 m² s pozemkem 800 m²,"Česká, Liberec - Liberec XXV-Vesec",8 820 000 Kč,106 m,176 m,nezařízený,jiný,cihlová
Prodej komerčního objektu (jiného typu) 620 m²,"Luční, Raspenava, okres Liberec",8 790 000 Kč,462 m,620 m,veřejný,osobní,cihlová
Prodej domu 270 m² s pozemkem 1 808 m²,"Stvolínky, okres Česká Lípa",5 000 000 Kč,170 m,270 m,,osobní,smíšená
Prodej bytu 3+1 67 m²,"Jana Zrzavého, Česká Lípa",3 295 000 Kč,6. patro (7. NP),8 podlaží,280 kWh,dobrý stav,panelová
Prodej stavebního pozemku 1 981 m²,"Doksy, okres Česká Lípa",7 924 000 Kč,,,,,osobní
Prodej stavebního pozemku 6 705 m²,"Hrubá Skála - Hnanice, okres Semily",3 345 795 Kč,,,,,osobní
Prodej pozemku 934 m²,"Zátiší, Doksy - Staré Splavy, okres Česká Lípa",237 000 Kč,,,,,934 m
Prodej domu 168 m² s pozemkem 205 m²,"Šeříková, Česká Lípa",4 250 000 Kč,nezařízený,G (vyhl. č. 78/2013 Sb.),,řadový,montovaná
Prodej bytu 3+1 66 m²,"Východní, Česká Lípa",2 100 000 Kč,3. patro (4. NP),8 podlaží,,před rekonstrukcí,panelová
Prodej bytu 3+kk 47 m²,"Vrkoslavická, Jablonec nad Nisou",3 290 000 Kč,1. patro (2. NP),2 podlaží,G (vyhl. č. 78/2013 Sb.),dobrý stav,cihlová
Prodej stavebního pozemku 1 200 m²,"Rynoltice - Jítrava, okres Liberec",2 470 000 Kč,,,,,1200 m
Prodej domu 100 m² s pozemkem 1 544 m²,"Višňová - Andělka, okres Liberec",1 350 000 Kč,100 m,1260 m,G (vyhl. č. 78/2013 Sb.),samostatný,smíšená
Prodej zahrady 590 m²,"Hejnice, okres Liberec",520 000 Kč,,,,,590 m
Prodej domu 201 m² s pozemkem 1 156 m²,"Stružinec, okres Semily",2 990 000 Kč,233 m,201 m,G,osobní,cihlová
Prodej domu 110 m² s pozemkem 1 166 m²,"Ralsko - Kuřívody, okres Česká Lípa",Cena na vyžádání,1166 m,110 m,parkování na pozemku,osobní,smíšená
Pronájem bytu 2+1 67 m²,"Jeronýmova, Liberec - Liberec VII-Horní Růžodol",11 600 Kč/měsíc,6. patro (7. NP),7 podlaží,,dobrý stav,smíšená
Prodej lesa 207 479 m²,"Pěnčín - Bratříkov, okres Jablonec nad Nisou",3 950 000 Kč,,,,,osobní
Prodej louky 18 968 m²,"Doksy - Staré Splavy, okres Česká Lípa",1 150 000 Kč,,,,,osobní
