title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej domu 80 m² s pozemkem 782 m²,"Sedliště, okres Frýdek-Místek",Cena na vyžádání,407 m,80 m,,samostatný,smíšená
Prodej chaty/chalupy 92 m²,"Václavov u Bruntálu - Horní Václavov, okres Bruntál",Cena na vyžádání,2022,92 m,230V,osobní,cihlová
Pronájem bytu 1+kk 33 m²,"Dolní náměstí, Opava - Město",12 500 Kč/měsíc,1. patro (2. NP),3 podlaží,,po rekonstrukci,cihlová
Pronájem bytu 2+kk 95 m²,"Dolní náměstí, Opava - Město",20 500 Kč/měsíc,1. patro (2. NP),3 podlaží,,po rekonstrukci,cihlová
Prodej domu 280 m² s pozemkem 1 397 m²,"Jindřichov, okres Bruntál",1 200 000 Kč,1397 m,280 m,G,osobní,cihlová
Pronájem bytu 2+kk 54 m²,"Jantarová, Ostrava - Moravská Ostrava",16 500 Kč/měsíc,5. patro (6. NP),7 podlaží,B (vyhl. č. 78/2013 Sb.),osobní,smíšená
Prodej domu 138 m² s pozemkem 279 m²,"Kovářská, Píšť, okres Opava",4 100 000 Kč,klidná část,2021,138 m,osobní,cihlová
Pronájem kanceláře 200 m²,"Rybářská, Opava - Předměstí",Cena na vyžádání,200 m,G,,osobní,cihlová
Prodej stavebního pozemku 2 525 m²,"Havířov - Prostřední Suchá, okres Karviná",1 136 250 Kč,,,,2525 m,osobní
Pronájem bytu 3+1 83 m²,"Stiborská, Kobeřice, okres Opava",9 000 Kč/měsíc,přízemí (1. NP = nadzemní podlaží),2 podlaží,G,dobrý stav,cihlová
Prodej stavebního pozemku 11 981 m²,"Rakovec, Český Těšín - Dolní Žukov, okres Karviná",10 782 900 Kč,vlastní čistička,,,11981 m,osobní
Prodej chaty/chalupy 64 m²,"Václavov u Bruntálu - Horní Václavov, okres Bruntál",Cena na vyžádání,2022,64 m,230V,osobní,cihlová
Prodej stavebního pozemku 1 301 m²,"Rakovec, Český Těšín - Dolní Žukov, okres Karviná",1 683 000 Kč,vlastní čistička,,,1301 m,osobní
Pronájem obchodních prostor 50 m²,"Dr. Martínka, Ostrava - Hrabůvka",7 000 Kč/měsíc,50 m,50 m,ústřední - dálkové,osobní,smíšená
Pronájem obchodních prostor 41 m²,"Dr. Martínka, Ostrava - Hrabůvka",5 000 Kč/měsíc,41 m,41 m,230V,osobní,smíšená
Pronájem skladovacích prostor 16 348 m²,Ostrava - Vítkovice,Cena na vyžádání,,,,skladovací prostory,smíšená
Pronájem kanceláře 41 m²,"Keltičkova, Ostrava - Slezská Ostrava",6 990 Kč/měsíc,parkování na ulici,nezaveden,veřejný,kanceláře,cihlová
Pronájem kanceláře 54 m²,"Smetanovo náměstí, Ostrava - Moravská Ostrava",7 650 Kč/měsíc,54 m,54 m,230V,osobní,cihlová
Pronájem obchodních prostor 110 m²,"Sokolovská, Ostrava - Poruba",9 500 Kč/měsíc,110 m,110 m,nádrž,osobní,smíšená
Prodej stavebního pozemku 585 m²,"Horní Bludovice, okres Karviná",1 250 000 Kč,,,,,585 m
