title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej domu 130 m² s pozemkem 1 100 m²,"Pavlovice u Přerova, okres Přerov",5 150 000 Kč,130 m,2 podlaží,zaveden,samostatný,cihlová
Pronájem bytu 2+kk 79 m²,"U solných mlýnů, Olomouc - Holice",13 400 Kč/měsíc,5 podlaží,,,osobní,cihlová
Pronájem bytu 2+kk 74 m²,"U solných mlýnů, Olomouc - Holice",13 100 Kč/měsíc,5 podlaží,,,osobní,cihlová
Pronájem bytu 1+kk 42 m²,"U solných mlýnů, Olomouc - Holice",9 900 Kč/měsíc,5 podlaží,,,osobní,cihlová
Pronájem bytu 1+kk 44 m²,"U solných mlýnů, Olomouc - Holice",10 700 Kč/měsíc,5 podlaží,,,osobní,cihlová
Pronájem bytu 1+kk 42 m²,"U solných mlýnů, Olomouc - Holice",9 900 Kč/měsíc,5 podlaží,,,osobní,cihlová
Pronájem bytu 1+kk 40 m²,"U solných mlýnů, Olomouc - Holice",9 500 Kč/měsíc,5 podlaží,,,osobní,cihlová
Prodej domu 154 m² s pozemkem 294 m²,Olomouc - Holice,8 490 000 Kč,G,,,řadový,cihlová
Pronájem výrobních prostor 259 m²,Olomouc,Cena na vyžádání,G,,,výrobní prostory,smíšená
Prodej domu 154 m² s pozemkem 296 m²,Olomouc - Holice,8 490 000 Kč,G,,,řadový,cihlová
Prodej domu 147 m² s pozemkem 953 m²,"Nové Dvory, Náměšť na Hané, okres Olomouc",7 457 000 Kč,90 m,147 m,ústřední - plynové,jiný,cihlová
Prodej chaty/chalupy 16 m² s pozemkem 446 m²,"Bílovice-Lutotín - Lutotín, okres Prostějov",490 000 Kč,16 m,16 m,nezařízený,osobní,montovaná
Prodej bytu 2+kk 42 m²,"Přestavlky, okres Přerov",1 790 000 Kč,1. patro (2. NP),2 podlaží,G,dobrý stav,cihlová
Pronájem obchodních prostor 283 m²,"tř. Kosmonautů, Olomouc",110 370 Kč/měsíc,5,přízemí (1. NP = nadzemní podlaží),,jiný,smíšená
Prodej domu 300 m² s pozemkem 880 m²,"Jungmannova, Hranice - Hranice I-Město, okres Přerov",7 900 000 Kč,200 m,300 m,,osobní,cihlová
Prodej bytu 3+1 76 m²,"Na Sídlišti, Zlaté Hory, okres Jeseník",1 600 000 Kč,3. patro (4. NP),6 podlaží,,dobrý stav,panelová
Prodej domu 70 m² s pozemkem 109 m²,"Želatovice, okres Přerov",990 000 Kč,70 m,1 podlaží,230V,řadový,cihlová
Prodej stavebního pozemku 2 392 m²,"Domašov u Šternberka, okres Olomouc",Cena na vyžádání,vlastní zdroj,veřejná kanalizace,,2392 m,osobní
Pronájem skladovacích prostor 200 m²,"Janáčkova, Jeseník",10 000 Kč/měsíc,2,nezařízený,,skladovací prostory,cihlová
Prodej stavebního pozemku 1 155 m²,"Uničov - Nová Dědina, okres Olomouc",Cena na vyžádání,žádný,,,1155 m,osobní
