title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej stavebního pozemku 2 260 m²,"Včelákov, okres Chrudim",1 785 400 Kč,,,,,osobní
Prodej obchodních prostor 500 m²,"Újezd u Přelouče, okres Pardubice",3 650 000 Kč,500 m,veřejný přívod,veřejný,osobní,cihlová
Prodej stavebního pozemku 1 502 m²,"Včelákov, okres Chrudim",1 186 580 Kč,,,,,osobní
Prodej domu 102 m² s pozemkem 430 m²,"Hlinsko - Blatno, okres Chrudim",2 600 000 Kč,233 m,102 m,veřejný přívod,osobní,cihlová
Prodej stavebního pozemku 565 m²,"Mikulovice, okres Pardubice",4 491 750 Kč,veřejná kanalizace,,,565 m,osobní
Prodej domu 470 m² s pozemkem 470 m²,"Zdeňka Fibicha, Králíky, okres Ústí nad Orlicí",3 705 700 Kč,470 m,470 m,,osobní,cihlová
Prodej domu 331 m² s pozemkem 2 m²,"České Heřmanice, okres Ústí nad Orlicí",2 650 000 Kč,2 m,331 m,garáž,osobní,smíšená
Pronájem bytu 2+1 56 m²,"Tyršovo náměstí, Chrudim - Chrudim II",10 000 Kč/měsíc,1. patro (2. NP),2 podlaží,G (vyhl. č. 78/2013 Sb.),dobrý stav,cihlová
Prodej stavebního pozemku 1 507 m²,"Včelákov, okres Chrudim",1 190 530 Kč,,,,,osobní
Pronájem bytu 3+1 64 m²,"kpt. Bartoše, Pardubice",13 000 Kč/měsíc,1. patro (2. NP),"východ
							, 
							64 m",ústřední - dálkové,dobrý stav,panelová
Pronájem bytu 2+kk 54 m²,"Jana Palacha, Pardubice - Zelené Předměstí",11 000 Kč/měsíc,2. patro (3. NP),3 podlaží,lokální - elektrické,dobrý stav,cihlová
Pronájem kanceláře 53 m²,"Palackého třída, Chrudim - Chrudim III",15 000 Kč/měsíc,,nezařízený,,kanceláře,cihlová
Prodej domu 120 m² s pozemkem 1 700 m²,"Vojtěchov, okres Chrudim",1 900 000 Kč,436 m,120 m,jiné,osobní,cihlová
Prodej domu 1 150 m² s pozemkem 3 547 m²,"Kočí, okres Chrudim",Cena na vyžádání,2 podlaží,1 podlaží,G (vyhl. č. 78/2013 Sb.),samostatný,smíšená
Pronájem bytu 3+1 65 m²,"Rybník, okres Ústí nad Orlicí",10 000 Kč/měsíc,3 podlaží,,,osobní,cihlová
Prodej domu 520 m² s pozemkem 3 500 m²,"Radiměř, okres Svitavy",Cena na vyžádání,2 podlaží,1 podlaží,G (vyhl. č. 78/2013 Sb.),samostatný,cihlová
Prodej bytu atypického 234 m²,"Bubeníkova, Pardubice - Bílé Předměstí",14 500 000 Kč,5 podlaží,zaveden,01.10.2021,osobní,cihlová
Prodej domu 120 m² s pozemkem 545 m²,"Pardubická, Přelouč, okres Pardubice",5 100 000 Kč,148 m,120 m,zavedena,osobní,cihlová
Prodej bytu 3+1 96 m²,"Zborovská, Lanškroun - Žichlínské Předměstí, okres Ústí nad Orlicí",3 400 000 Kč,1. patro (2. NP),4 podlaží,nádrž,dobrý stav,cihlová
Prodej domu 90 m² s pozemkem 1 992 m²,"Mistrovice, okres Ústí nad Orlicí",2 190 000 Kč,90 m,1810 m,,samostatný,smíšená
