title,location,price,land_area,util_area,num_of_rooms,property,building
Pronájem bytu 4+1 76 m²,"Brněnská, Plzeň - Severní Předměstí",15 000 Kč/měsíc,,,ústřední - dálkové,osobní,panelová
Pronájem skladovacích prostor 20 160 m²,Plzeň,Cena na vyžádání,"230V, zavedena",veřejný,,skladovací prostory,smíšená
Prodej stavebního pozemku 6 875 m²,"Plasy, okres Plzeň-sever",3 100 000 Kč,,,,,6875 m
Pronájem kanceláře 17 m²,"Borská, Plzeň - Jižní Předměstí",5 035 Kč/měsíc,17 m,ústřední - dálkové,veřejná kanalizace,osobní,cihlová
Pronájem skladovacích prostor 2 040 m²,Plzeň,Cena na vyžádání,"230V, zavedena",veřejný,,skladovací prostory,smíšená
Prodej chaty/chalupy s pozemkem 1 077 m²,"Chocomyšl, okres Domažlice",3 150 000 Kč,G,,,klidná část,smíšená
Pronájem kanceláře 15 m²,"Částkova, Plzeň - Východní Předměstí",2 400 Kč/měsíc,15 m,G,,osobní,smíšená
Pronájem kanceláře,"sady Pětatřicátníků, Plzeň",7 500 Kč/měsíc,1,D,,kanceláře,cihlová
Pronájem bytu 3+1 135 m²,"Purkyňova, Plzeň - Jižní Předměstí",11 900 Kč/měsíc,1. patro (2. NP),3 podlaží,ústřední - plynové,dobrý stav,cihlová
Pronájem skladovacích prostor 4 896 m²,"Stříbro, okres Tachov",Cena na vyžádání,"230V, zavedena",veřejný,,skladovací prostory,smíšená
Prodej stavebního pozemku 1 611 m²,"Kasejovice, okres Plzeň-Jih",2 195 000 Kč,,,,,1611 m
Prodej domu 194 m² s pozemkem 1 505 m²,"Za Lesem, Plzeň - Lhota",16 900 000 Kč,2006,1505 m,,osobní,cihlová
Prodej domu 294 m² s pozemkem 227 m²,"Staré Sedliště, okres Tachov",4 399 000 Kč,klidná část,2014,227 m,osobní,cihlová
Pronájem zahrady 459 m²,"Pražská, Rokycany",4 000 Kč/měsíc,,,,,459 m
Pronájem skladovacích prostor 3 400 m²,"Bor, okres Tachov",Cena na vyžádání,zaveden,zavedena,,skladovací prostory,smíšená
Pronájem obchodních prostor 111 m²,"Jiráskovo náměstí, Plzeň - Východní Předměstí",11 000 Kč/měsíc,4,přízemí (1. NP = nadzemní podlaží),,obchodní prostory,cihlová
Prodej domu 110 m² s pozemkem 2 999 m²,"Chodov, okres Domažlice",3 495 000 Kč,110 m,1 podlaží,ústřední - plynové,samostatný,smíšená
Pronájem kanceláře 40 m²,"Kopeckého sady, Plzeň - Vnitřní Město",21 900 Kč/měsíc,40 m,2. patro (3. NP),,kanceláře,cihlová
Pronájem výrobních prostor,"Kasárenská, Holýšov, okres Domažlice",Cena na vyžádání,5,G,,výrobní prostory,cihlová
"Prodej nájemního domu, činžáku 1 062 m²",Plzeň - Východní Předměstí,29 900 000 Kč,275 m,1062 m,zaveden,osobní,cihlová
