title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej bytu 4+kk 126 m²,"Počernická, Praha 10 - Strašnice",Cena na vyžádání,8. patro (9. NP),,B,novostavba,cihlová
Prodej bytu 2+1 55 m²,"Olbramovická, Praha 4 - Kamýk, okres Praha",5 190 000 Kč,6 podlaží,,,družstevní,panelová
Pronájem kanceláře 868 m²,"Radlická, Praha 5 - Jinonice",295 762 Kč/měsíc,868 m,4. patro (5. NP),A (vyhl. č. 148/2007 Sb.),kanceláře,smíšená
Pronájem bytu 2+kk 56 m²,"Ke dvoru, Praha 6 - Vokovice",18 000 Kč/měsíc,2. patro (3. NP),5 podlaží,,udržovaný,cihlová
Pronájem kanceláře 30 m²,"Semanského, Praha 10 - Uhříněves",6 000 Kč/měsíc,30 m,G,,osobní,cihlová
Prodej domu 275 m² s pozemkem 676 m²,"Nad višňovkou, Praha 6 - Ruzyně",28 000 000 Kč,275 m,400 m,"garáž, parkování na ulici",samostatný,cihlová
Pronájem bytu 2+kk 44 m²,"Frýdlantská, Praha 8 - Kobylisy",12 000 Kč/měsíc,částečně zařízený,01.11.2021,,osobní,panelová
Pronájem bytu 2+kk 40 m²,"Marie Cibulkové, Praha 4 - Nusle, okres Praha",13 000 Kč/měsíc,zaveden,částečně zařízený,,osobní,cihlová
Pronájem kanceláře 83 m²,"Opletalova, Praha 1 - Nové Město, okres Praha",29 012 Kč/měsíc,83 m,5,,osobní,cihlová
Prodej bytu 1+kk 39 m²,"Počernická, Praha 10 - Strašnice",Cena na vyžádání,1. patro (2. NP),,B,novostavba,cihlová
Pronájem kanceláře 23 m²,"Dělnická, Praha 7 - Holešovice",Cena na vyžádání,8,garáž,,jiný,cihlová
Prodej bytu 3+kk 89 m²,"Počernická, Praha 10 - Strašnice",14 250 500 Kč,2. patro (3. NP),,B,novostavba,cihlová
Prodej bytu 3+kk 116 m²,"Pláničkova, Praha 6 - Veleslavín",15 200 000 Kč,1. patro (2. NP),4 podlaží,ústřední - plynové,osobní,cihlová
Prodej bytu atypického 44 m²,"Počernická, Praha 10 - Strašnice",6 683 700 Kč,3. patro (4. NP),,B,novostavba,cihlová
Prodej bytu 3+1 108 m²,"Saská, Praha 1 - Malá Strana",Cena na vyžádání,2. patro (3. NP),4 podlaží,,osobní,cihlová
Pronájem bytu 1+kk 36 m²,"Thurnova, Praha 6 - Břevnov",12 000 Kč/měsíc,zařízený,09.11.2021,,osobní,cihlová
Pronájem kanceláře 26 m²,"Revoluční, Praha 1 - Staré Město",22 500 Kč/měsíc,7,garáž,,jiný,cihlová
Pronájem kanceláře 26 m²,"Hybernská, Praha 1 - Nové Město",13 885 Kč/měsíc,6,nezařízený,,kanceláře,cihlová
Pronájem kanceláře 1 100 m²,"Táborská, Praha 4 - Nusle",314 600 Kč/měsíc,2,nezařízený,,jiný,smíšená
Prodej pole 14 386 m²,"Šenovská, Praha 8 - Ďáblice",Cena na vyžádání,,,,,14386 m
