title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej domu 268 m² s pozemkem 1 152 m²,"Branov, okres Rakovník",Cena na vyžádání,2000,1152 m,parkování na ulici,osobní,kamenná
Prodej pole 5 379 m²,"Jirny, okres Praha-východ",1 075 800 Kč,,,,,5379 m
Pronájem domu 180 m² s pozemkem 780 m²,"Velké Přílepy, okres Praha-západ",Cena na vyžádání,780 m,200 m,2 podlaží,osobní,cihlová
Prodej Garáž v Králově Dvoře v přízemí bytového domu,"Popelky Biliánové, Králův Dvůr, okres Beroun",Cena na vyžádání,,,,,
Prodej stavebního pozemku 1 002 m²,"Na Návsi, Vonoklasy, okres Praha-západ",5 008 998 Kč,,,,,osobní
Prodej domu 104 m² s pozemkem 471 m²,"Sportovní, Kostelec nad Černými lesy, okres Praha-východ",8 200 000 Kč,2023,471 m,1 podlaží,řadový,cihlová
Prodej domu 258 m² s pozemkem 956 m²,"Aloise Jiráska, Příbram - Příbram IV",Cena na vyžádání,129 m,258 m,,osobní,cihlová
Prodej Garáž v Králově Dvoře v přízemí bytového domu,"Popelky Biliánové, Králův Dvůr, okres Beroun",Cena na vyžádání,,,,,
Prodej Garáž v Králově Dvoře v přízemí bytového domu,"Popelky Biliánové, Králův Dvůr, okres Beroun",Cena na vyžádání,,,,,
Prodej domu 96 m² s pozemkem 908 m²,"Klikorkova, Kladno",25 114 000 Kč,65 m,96 m,nezařízený,jiný,cihlová
Prodej domu 80 m² s pozemkem 474 m²,"Boleslavská, Rožďalovice, okres Nymburk",3 290 000 Kč,154 m,1 podlaží,G (vyhl. č. 78/2013 Sb.),v bloku,smíšená
Prodej domu 351 m² s pozemkem 784 m²,"V Zahradách, Horoměřice, okres Praha-západ",18 000 000 Kč,166 m,351 m,,samostatný,cihlová
Prodej domu 150 m² s pozemkem 449 m²,"Na Hrázce, Mochov, okres Praha-východ",13 990 000 Kč,150 m,310 m,,samostatný,cihlová
Prodej domu 95 m² s pozemkem 745 m²,"Bakov nad Jizerou, okres Mladá Boleslav",4 500 000 Kč,1930,2020,95 m,osobní,smíšená
Prodej domu 111 m² s pozemkem 851 m²,"Jestřabí Lhota, okres Kolín",5 950 000 Kč,137 m,111 m,veřejná kanalizace,samostatný,cihlová
Pronájem skladovacích prostor 4 600 m²,"Ostředek, okres Benešov",Cena na vyžádání,zaveden,lokální - plyn,G,skladovací prostory,smíšená
Pronájem bytu 1+kk 29 m²,"V Zátiší, Jevany, okres Praha-východ",5 999 Kč/měsíc,,nezaveden,"Restaurace, Pošta, Místní úřad, Lékař, Kulturní zařízení, Koupaliště",osobní,panelová
Prodej domu 146 m² s pozemkem 362 m²,"Strančice, okres Praha-východ",15 880 000 Kč,146 m,362 m,,řadový,cihlová
Pronájem skladovacích prostor 4 114 m²,"Hrnčířská, Kutná Hora - Karlov",Cena na vyžádání,zaveden,"230V, zavedena",,skladovací prostory,smíšená
Prodej obchodních prostor 2 960 m²,"Sportovní, Babice, okres Praha-východ",Cena na vyžádání,1300 m,2960 m,C (vyhl. č. 78/2013 Sb.),jiný,cihlová
