title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej louky 6 165 m²,"Řehlovice - Brozánky, okres Ústí nad Labem",460 000 Kč,,,,,osobní
Pronájem domu 500 m² s pozemkem 3 700 m²,"Okružní, Háj u Duchcova, okres Teplice",60 000 Kč/měsíc,3700 m,377 m,,osobní,cihlová
Prodej pole 16 019 m²,Ústí nad Labem - Všebořice,5 200 000 Kč,,,,16019 m,osobní
Prodej pole 3 515 m²,"Hostomice, okres Teplice",180 000 Kč,,,,3515 m,osobní
Prodej louky 21 655 m²,"Řehlovice - Brozánky, okres Ústí nad Labem",1 400 000 Kč,,,,,osobní
Pronájem bytu 2+1 70 m²,"Karla IV., Litoměřice - Předměstí",11 000 Kč/měsíc,přízemí (1. NP = nadzemní podlaží),3 podlaží,G,dobrý stav,cihlová
Prodej pole 14 333 m²,Ústí nad Labem - Všebořice,4 793 230 Kč,,,,14333 m,osobní
"Prodej nájemního domu, činžáku 480 m²","Lubenec - Libyně, okres Louny",6 999 000 Kč,167 m,167 m,6,s.r.o.,cihlová
Pronájem bytu 2+1 55 m²,"Čechova, Roudnice nad Labem, okres Litoměřice",14 500 Kč/měsíc,2. patro (3. NP),4 podlaží,G,dobrý stav,cihlová
Pronájem bytu 1+1 36 m²,"Bořivojova, Roudnice nad Labem, okres Litoměřice",10 550 Kč/měsíc,2. patro (3. NP),8 podlaží,,dobrý stav,panelová
Prodej louky 19 816 m²,"Chlumec - Střížovice, okres Ústí nad Labem",2 281 600 Kč,,,,19816 m,osobní
Prodej domu 620 m² s pozemkem 1 240 m²,"Křimov, okres Chomutov",5 500 000 Kč,230 m,620 m,,samostatný,smíšená
Pronájem obchodních prostor 50 m²,"Masarykova, Ústí nad Labem - Ústí nad Labem-centrum",9 500 Kč/měsíc,nezaveden,ústřední - dálkové,veřejná kanalizace,obchodní prostory,cihlová
Prodej stavebního pozemku 2 950 m²,"Lišnice, okres Most",3 999 000 Kč,,,,,osobní
Pronájem bytu 1+1 55 m²,"Masarykova, Ústí nad Labem - Ústí nad Labem-centrum",7 500 Kč/měsíc,4 podlaží,,230V,osobní,cihlová
Pronájem komerčního objektu (jiného typu) 177 m²,"Žižkova, Ústí nad Labem - Ústí nad Labem-centrum",19 153 Kč/měsíc,177 m,B,,osobní,panelová
Pronájem kanceláře 41 m²,"Žižkova, Ústí nad Labem - Ústí nad Labem-centrum",6 850 Kč/měsíc,41 m,B,,osobní,panelová
Pronájem bytu 2+kk 59 m²,"Londýnská, Ústí nad Labem - Ústí nad Labem-centrum",8 500 Kč/měsíc,1. patro (2. NP),8 podlaží,ústřední - dálkové,dobrý stav,cihlová
Pronájem kanceláře 85 m²,"Žižkova, Ústí nad Labem - Ústí nad Labem-centrum",Cena na vyžádání,85 m,B,,osobní,panelová
Prodej ubytovacího objektu 110 m²,"Stará, Ústí nad Labem - Ústí nad Labem-centrum",Cena na vyžádání,110 m,110 m,veřejná kanalizace,osobní,smíšená
