title,location,price,land_area,util_area,num_of_rooms,property,building
Pronájem kanceláře 34 m²,"Průmyslová, Jiřice, okres Pelhřimov",9 000 Kč/měsíc,34 m,C,,osobní,smíšená
Prodej domu 105 m² s pozemkem 805 m²,"Kámen, okres Pelhřimov",3 900 000 Kč,805 m,191 m,lokální - tuhá paliva,samostatný,cihlová
Pronájem kanceláře 48 m²,"Průmyslová, Jiřice, okres Pelhřimov",10 000 Kč/měsíc,48 m,C,,osobní,smíšená
Pronájem obchodních prostor 58 m²,"Komenského, Humpolec, okres Pelhřimov",9 100 Kč/měsíc,58 m,58 m,230V,osobní,cihlová
Prodej domu 80 m² s pozemkem 439 m²,"Pacov, okres Pelhřimov",2 000 000 Kč,439 m,116 m,1 podlaží,osobní,smíšená
Pronájem bytu 3+1 66 m²,"Želiv, okres Pelhřimov",10 500 Kč/měsíc,66 m,3. patro (4. NP),,dobrý stav,cihlová
Pronájem obchodních prostor 47 m²,"Nerudova, Humpolec, okres Pelhřimov",7 000 Kč/měsíc,47 m,47 m,230V,osobní,cihlová
Pronájem obchodních prostor 8 m²,"Komenského, Humpolec, okres Pelhřimov",15 000 Kč/měsíc,8 m,8 m,vlastní zdroj,osobní,cihlová
Pronájem zahrady 830 m²,"Šlapanov, okres Havlíčkův Brod",500 Kč/měsíc,,,,830 m,osobní
Prodej domu 195 m² s pozemkem 195 m²,"Herálec, okres Havlíčkův Brod",2 650 000 Kč,195 m,90 m,lokální - tuhá paliva,osobní,kamenná
Pronájem obchodních prostor 351 m²,"Novoměstská, Žďár nad Sázavou - Žďár nad Sázavou 1",Cena na vyžádání,2019,351 m,351 m,osobní,smíšená
Prodej domu 120 m² s pozemkem 433 m²,"Světlá nad Sázavou, okres Havlíčkův Brod",3 290 000 Kč,1941,433 m,,osobní,cihlová
Pronájem pozemku 1 700 m²,"5. května, Humpolec, okres Pelhřimov",Cena na vyžádání,,,,,osobní
Prodej stavebního pozemku 1 177 m²,"Žirov, okres Pelhřimov",2 490 000 Kč,,,,nezaveden,osobní
Prodej komerčního objektu (jiného typu) 476 m²,"5. května, Humpolec, okres Pelhřimov",13 490 000 Kč,1920,319 m,476 m,osobní,smíšená
Prodej domu 168 m² s pozemkem 943 m²,"Lesného, Jemnice, okres Třebíč",2 990 000 Kč,943 m,94 m,"lokální - tuhá paliva, lokální - elektrické",samostatný,dřevěná
"Pronájem garáže 16 m2, Havlíčkův Brod","Pražská, Havlíčkův Brod",1 800 Kč/měsíc,,,,,
Pronájem bytu 2+1 55 m²,"Fibichova, Jihlava",12 000 Kč/měsíc,55 m,1. patro (2. NP),nádrž,po rekonstrukci,cihlová
Pronájem skladovacích prostor 15 455 m²,"Velká Bíteš, okres Žďár nad Sázavou",Cena na vyžádání,,,,skladovací prostory,smíšená
Prodej stavebního pozemku 2 203 m²,"Budíkov, okres Pelhřimov",2 203 000 Kč,,,,2203 m,osobní
