title,location,price,land_area,util_area,num_of_rooms,property,building
Prodej skladovacích prostor 800 m²,"Stavbařů, Kroměříž - Vážany",Cena na vyžádání,800 m,G,,osobní,cihlová
Pronájem obchodních prostor 29 m²,"Čs. brigády, Bystřice pod Hostýnem, okres Kroměříž",6 000 Kč/měsíc,29 m,G,,osobní,cihlová
Pronájem bytu 2+kk 44 m²,"Čs. brigády, Bystřice pod Hostýnem, okres Kroměříž",7 000 Kč/měsíc,přízemí (1. NP = nadzemní podlaží),2 podlaží,,dobrý stav,cihlová
Pronájem obchodních prostor 72 m²,"Čs. brigády, Bystřice pod Hostýnem, okres Kroměříž",12 000 Kč/měsíc,72 m,G,,osobní,cihlová
Prodej stavebního pozemku 1 856 m²,"Litenčice, okres Kroměříž",830 000 Kč,,,,,1856 m
Prodej výrobních prostor 870 m²,"Nádražní, Morkovice-Slížany - Morkovice, okres Kroměříž",3 700 000 Kč,870 m,G,,osobní,cihlová
Prodej výrobních prostor 870 m²,"Nádražní, Morkovice-Slížany - Morkovice, okres Kroměříž",3 700 000 Kč,870 m,G,,osobní,cihlová
Pronájem kanceláře 14 m²,"Malý val, Kroměříž",4 100 Kč/měsíc,14 m,2,01.12.2021,kanceláře,cihlová
Prodej pole 1 823 m²,"Uherský Brod - Újezdec, okres Uherské Hradiště",365 000 Kč,,,,,osobní
Pronájem bytu 2+kk 120 m²,"Nádražní, Luhačovice, okres Zlín",18 500 Kč/měsíc,2. patro (3. NP),3 podlaží,,dobrý stav,cihlová
Pronájem kanceláře 403 m²,"třída Tomáše Bati, Zlín - Prštné",58 771 Kč/měsíc,403 m,částečně zařízený,,osobní,cihlová
Prodej komerčního pozemku 8 948 m²,"Holešov - Všetuly, okres Kroměříž",6 254 652 Kč,,,,,osobní
Prodej komerčního pozemku 19 950 m²,"Meziříčská, Bystřice pod Hostýnem, okres Kroměříž",Cena na vyžádání,,,,,osobní
Pronájem komerčního objektu (jiného typu) 115 m²,"Tyršova, Staré Město, okres Uherské Hradiště",22 000 Kč/měsíc,115 m,G,,osobní,cihlová
Prodej domu 200 m² s pozemkem 872 m²,"Liptál, okres Vsetín",5 200 000 Kč,117 m,200 m,,osobní,cihlová
Prodej domu 191 m² s pozemkem 1 125 m²,"Lukovské, Fryšták - Dolní Ves, okres Zlín",Cena na vyžádání,1125 m,247 m,,osobní,cihlová
Prodej domu 113 m² s pozemkem 296 m²,"Karmínová, Zlín - Kudlov",9 500 000 Kč,80 m,113 m,B,osobní,cihlová
Prodej pole 1 220 m²,Zlín - Salaš,75 640 Kč,,,,,1220 m
Pronájem parkovacího stání Luhačovice,"Mlýnská, Luhačovice, okres Zlín",500 Kč/měsíc,,,,,
Prodej bytu 4+kk 97 m²,"Vrchy, Zlín - Kudlov",7 033 950 Kč,97 m,1. patro (2. NP),,ve výstavbě,cihlová
